Date,DeutschlandWG7inEUR
1/11/2024,1722
2/11/2024,1668
3/11/2024,1988
4/11/2024,1807
5/11/2024,2088
6/11/2024,1755
7/11/2024,1890
8/11/2024,2129
9/11/2024,2038
10/11/2024,2122
11/11/2024,2101
12/11/2024,1437
1/12/2024,1963
2/12/2024,2032
3/12/2024,2040
4/12/2024,1868
5/12/2024,1945
6/12/2024,1953
7/12/2024,2114
8/12/2024,2180
9/12/2024,1804
10/12/2024,2073
11/12/2024,2153
12/12/2024,1446
1/13/2024,2301
2/13/2024,1936
3/13/2024,2083
4/13/2024,2172
5/13/2024,1950
6/13/2024,1989
7/13/2024,2321
8/13/2024,1903
9/13/2024,1955
10/13/2024,2097
11/13/2024,2214
12/13/2024,1253
1/14/2024,2554
2/14/2024,2297
3/14/2024,2302
4/14/2024,2264
5/14/2024,2377
6/14/2024,2212
7/14/2024,2654
8/14/2024,2287
9/14/2024,2427
10/14/2024,2500
11/14/2024,2300
12/14/2024,1606
1/15/2024,2555
2/15/2024,2363
3/15/2024,2662
4/15/2024,2405
5/15/2024,2114
6/15/2024,2638
7/15/2024,2983
8/15/2024,2479
9/15/2024,2542
10/15/2024,2536
11/15/2024,2567
12/15/2024,1668
1/16/2024,2555
2/16/2024,2590
3/16/2024,2752
4/16/2024,2764
5/16/2024,2421
6/16/2024,2968
7/16/2024,2627
8/16/2024,2805
9/16/2024,2745
10/16/2024,2665
11/16/2024,3019
12/16/2024,2217
1/17/2024,3525
2/17/2024,3052
3/17/2024,3582
4/17/2024,2830
5/17/2024,3071
6/17/2024,3039
7/17/2024,3479
8/17/2024,3652
9/17/2024,3322
10/17/2024,3079
11/17/2024,3514
12/17/2024,2269
1/18/2024,3691
2/18/2024,3464
3/18/2024,3651
4/18/2024,3268
5/18/2024,3425
6/18/2024,3813
7/18/2024,4207
8/18/2024,4082
9/18/2024,3537
10/18/2024,4076
11/18/2024,3950
12/18/2024,2979
1/19/2024,3932
2/19/2024,3981
3/19/2024,3739
4/19/2024,3428
5/19/2024,3482
6/19/2024,3045
7/19/2024,3824
8/19/2024,3284
9/19/2024,3226
10/19/2024,3363
11/19/2024,3202
12/19/2024,2398
1/20/2024,3436
2/20/2024,3328
3/20/2024,3775
4/20/2024,2713
5/20/2024,2338
6/20/2024,2620
7/20/2024,3253
8/20/2024,2483
9/20/2024,3017
10/20/2024,3390
11/20/2024,3514
12/20/2024,2793
1/21/2024,3524
2/21/2024,4333
3/21/2024,5229
4/21/2024,4643
5/21/2024,5913
6/21/2024,5483
7/21/2024,5029
8/21/2024,5198
9/21/2024,5330
10/21/2024,5777
11/21/2024,5990
12/21/2024,5186
1/22/2024,4917
2/22/2024,6169
3/22/2024,6065
4/22/2024,5699
5/22/2024,5639
6/22/2024,5626
7/22/2024,4913
8/22/2024,5144
9/22/2024,5348
10/22/2024,4758
11/22/2024,4528
12/22/2024,3053
1/23/2024,4321
2/23/2024,4622
3/23/2024,5165
4/23/2024,3660
5/23/2024,3643
6/23/2024,3326
