Date,DeutschlandWG7inEUR
9/1/2002,0
10/1/2002,0
11/1/2002,0
12/1/2002,0
1/1/2003,0
2/1/2003,0
3/1/2003,0
4/1/2003,0
5/1/2003,0
6/1/2003,0
7/1/2003,0
8/1/2003,0
9/1/2003,0
10/1/2003,0
11/1/2003,0
12/1/2003,0
1/1/2004,0
2/1/2004,0
3/1/2004,0
4/1/2004,0
5/1/2004,0
6/1/2004,0
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,0
11/1/2004,0
12/1/2004,0
1/1/2005,0
2/1/2005,0
3/1/2005,0
4/1/2005,0
5/1/2005,0
6/1/2005,0
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,0
1/1/2006,0
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0
12/1/2006,0
1/1/2007,0
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,0
12/1/2007,0
1/1/2008,0
2/1/2008,0
3/1/2008,0
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,0
12/1/2008,0
1/1/2009,0
2/1/2009,0
3/1/2009,0
4/1/2009,0
5/1/2009,0
6/1/2009,0
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0
11/1/2009,0
12/1/2009,0
1/1/2010,0
2/1/2010,0
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,0
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,0
12/1/2010,0
1/1/2011,0
2/1/2011,1722
3/1/2011,1668
4/1/2011,1988
5/1/2011,1807
6/1/2011,2088
7/1/2011,1755
8/1/2011,1890
9/1/2011,2129
10/1/2011,2038
11/1/2011,2122
12/1/2011,2101
1/1/2012,1437
2/1/2012,1963
3/1/2012,2032
4/1/2012,2040
5/1/2012,1868
6/1/2012,1945
7/1/2012,1953
8/1/2012,2114
9/1/2012,2180
10/1/2012,1804
11/1/2012,2073
12/1/2012,2153
1/1/2013,1446
2/1/2013,2301
3/1/2013,1936
4/1/2013,2083
5/1/2013,2172
6/1/2013,1950
7/1/2013,1989
8/1/2013,2321
9/1/2013,1903
10/1/2013,1955
11/1/2013,2097
12/1/2013,2214
1/1/2014,1253
2/1/2014,2554
3/1/2014,2297
4/1/2014,2302
5/1/2014,2264
6/1/2014,2377
7/1/2014,2212
8/1/2014,2654
9/1/2014,2287
10/1/2014,2427
11/1/2014,2500
12/1/2014,2300
1/1/2015,1606
2/1/2015,2555
3/1/2015,2363
4/1/2015,2662
5/1/2015,2405
6/1/2015,2114
7/1/2015,2638
8/1/2015,2983
9/1/2015,2479
10/1/2015,2542
11/1/2015,2536
12/1/2015,2567
1/1/2016,1668
2/1/2016,2555
3/1/2016,2590
4/1/2016,2752
5/1/2016,2764
6/1/2016,2421
7/1/2016,2968
8/1/2016,2627
9/1/2016,2805
10/1/2016,2745
11/1/2016,2665
12/1/2016,3019
1/1/2017,2217
2/1/2017,3525
3/1/2017,3052
4/1/2017,3582
5/1/2017,2830
6/1/2017,3071
7/1/2017,3039
8/1/2017,3479
9/1/2017,3652
10/1/2017,3322
11/1/2017,3079
12/1/2017,3514
1/1/2018,2269
2/1/2018,3691
3/1/2018,3464
4/1/2018,3651
5/1/2018,3268
6/1/2018,3425
7/1/2018,3813
8/1/2018,4207
9/1/2018,4082
10/1/2018,3537
11/1/2018,4076
12/1/2018,3950
1/1/2019,2979
2/1/2019,3932
3/1/2019,3981
4/1/2019,3739
5/1/2019,3428
6/1/2019,3482
7/1/2019,3045
8/1/2019,3824
9/1/2019,3284
10/1/2019,3226
11/1/2019,3363
12/1/2019,3202
1/1/2020,2398
2/1/2020,3436
3/1/2020,3328
4/1/2020,3775
5/1/2020,2713
6/1/2020,2338
7/1/2020,2620
8/1/2020,3253
9/1/2020,2483
10/1/2020,3017
11/1/2020,3390
12/1/2020,3514
1/1/2021,2793
2/1/2021,3524
3/1/2021,4333
4/1/2021,5229
5/1/2021,4643
6/1/2021,5913
7/1/2021,5483
8/1/2021,5029
9/1/2021,5198
10/1/2021,5330
11/1/2021,5777
12/1/2021,5990
1/1/2022,5186
2/1/2022,4917
3/1/2022,6169
4/1/2022,6065
5/1/2022,5699
6/1/2022,5639
7/1/2022,5626
8/1/2022,4913
9/1/2022,5144
10/1/2022,5348
11/1/2022,4758
12/1/2022,4528
1/1/2023,3053
2/1/2023,4321
3/1/2023,4622
4/1/2023,5165
5/1/2023,3660
6/1/2023,3643
7/1/2023,3326
