Date,DeutschlandWG7inEUR
9/1/2002,0
10/1/2002,0
11/1/2002,0
12/1/2002,0
1/1/2003,0
2/1/2003,0
3/1/2003,0
4/1/2003,0
5/1/2003,0
6/1/2003,0
7/1/2003,0
8/1/2003,0
9/1/2003,0
10/1/2003,0
11/1/2003,0
12/1/2003,0
1/1/2004,0
2/1/2004,0
3/1/2004,0
4/1/2004,0
5/1/2004,0
6/1/2004,0
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,0
11/1/2004,0
12/1/2004,0
1/1/2005,0
2/1/2005,0
3/1/2005,0
4/1/2005,0
5/1/2005,0
6/1/2005,0
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,0
1/1/2006,0
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0
12/1/2006,0
1/1/2007,0
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,0
12/1/2007,0
1/1/2008,0
2/1/2008,0
3/1/2008,0
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,0
12/1/2008,0
1/1/2009,0
2/1/2009,0
3/1/2009,0
4/1/2009,0
5/1/2009,0
6/1/2009,0
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0
11/1/2009,0
12/1/2009,0
1/1/2010,0
2/1/2010,0
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,0
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,0
12/1/2010,0
1/1/2011,1722
2/1/2011,1668
3/1/2011,1988
4/1/2011,1807
5/1/2011,2088
6/1/2011,1755
7/1/2011,1890
8/1/2011,2129
9/1/2011,2038
10/1/2011,2122
11/1/2011,2101
12/1/2011,1437
1/1/2012,1963
2/1/2012,2032
3/1/2012,2040
4/1/2012,1868
5/1/2012,1945
6/1/2012,1953
7/1/2012,2114
8/1/2012,2180
9/1/2012,1804
10/1/2012,2073
11/1/2012,2153
12/1/2012,1446
1/1/2013,2301
2/1/2013,1936
3/1/2013,2083
4/1/2013,2172
5/1/2013,1950
6/1/2013,1989
7/1/2013,2321
8/1/2013,1903
9/1/2013,1955
10/1/2013,2097
11/1/2013,2214
12/1/2013,1253
1/1/2014,2554
2/1/2014,2297
3/1/2014,2302
4/1/2014,2264
5/1/2014,2377
6/1/2014,2212
7/1/2014,2654
8/1/2014,2287
9/1/2014,2427
10/1/2014,2500
11/1/2014,2300
12/1/2014,1606
1/1/2015,2555
2/1/2015,2363
3/1/2015,2662
4/1/2015,2405
5/1/2015,2114
6/1/2015,2638
7/1/2015,2983
8/1/2015,2479
9/1/2015,2542
10/1/2015,2536
11/1/2015,2567
12/1/2015,1668
1/1/2016,2555
2/1/2016,2590
3/1/2016,2752
4/1/2016,2764
5/1/2016,2421
6/1/2016,2968
7/1/2016,2627
8/1/2016,2805
9/1/2016,2745
10/1/2016,2665
11/1/2016,3019
12/1/2016,2217
1/1/2017,3525
2/1/2017,3052
3/1/2017,3582
4/1/2017,2830
5/1/2017,3071
6/1/2017,3039
7/1/2017,3479
8/1/2017,3652
9/1/2017,3322
10/1/2017,3079
11/1/2017,3514
12/1/2017,2269
1/1/2018,3691
2/1/2018,3464
3/1/2018,3651
4/1/2018,3268
5/1/2018,3425
6/1/2018,3813
7/1/2018,4207
8/1/2018,4082
9/1/2018,3537
10/1/2018,4076
11/1/2018,3950
12/1/2018,2979
1/1/2019,3932
2/1/2019,3981
3/1/2019,3739
4/1/2019,3428
5/1/2019,3482
6/1/2019,3045
7/1/2019,3824
8/1/2019,3284
9/1/2019,3226
10/1/2019,3363
11/1/2019,3202
12/1/2019,2398
1/1/2020,3436
2/1/2020,3328
3/1/2020,3775
4/1/2020,2713
5/1/2020,2338
6/1/2020,2620
7/1/2020,3253
8/1/2020,2483
9/1/2020,3017
10/1/2020,3390
11/1/2020,3514
12/1/2020,2793
1/1/2021,3524
2/1/2021,4333
3/1/2021,5229
4/1/2021,4643
5/1/2021,5913
6/1/2021,5483
7/1/2021,5029
8/1/2021,5198
9/1/2021,5330
10/1/2021,5777
11/1/2021,5990
12/1/2021,5186
1/1/2022,4917
2/1/2022,6169
3/1/2022,6065
4/1/2022,5699
5/1/2022,5639
6/1/2022,5626
7/1/2022,4913
8/1/2022,5144
9/1/2022,5348
10/1/2022,4758
11/1/2022,4528
12/1/2022,3053
1/1/2023,4321
2/1/2023,4622
3/1/2023,5165
4/1/2023,3660
5/1/2023,3643
6/1/2023,3326
7/1/2023,3380
8/1/2023,3284
