Date,DeutschlandWG7inEUR
Jan-11,"1,722"
Feb-11,"1,668"
Mar-11,"1,988"
Apr-11,"1,807"
May-11,"2,088"
Jun-11,"1,755"
Jul-11,"1,890"
Aug-11,"2,129"
Sep-11,"2,038"
Oct-11,"2,122"
Nov-11,"2,101"
Dec-11,"1,437"
Jan-12,"1,963"
Feb-12,"2,032"
Mar-12,"2,040"
Apr-12,"1,868"
May-12,"1,945"
Jun-12,"1,953"
Jul-12,"2,114"
Aug-12,"2,180"
Sep-12,"1,804"
Oct-12,"2,073"
Nov-12,"2,153"
Dec-12,"1,446"
Jan-13,"2,301"
Feb-13,"1,936"
Mar-13,"2,083"
Apr-13,"2,172"
May-13,"1,950"
Jun-13,"1,989"
Jul-13,"2,321"
Aug-13,"1,903"
Sep-13,"1,955"
Oct-13,"2,097"
Nov-13,"2,214"
Dec-13,"1,253"
Jan-14,"2,554"
Feb-14,"2,297"
Mar-14,"2,302"
Apr-14,"2,264"
May-14,"2,377"
Jun-14,"2,212"
Jul-14,"2,654"
Aug-14,"2,287"
Sep-14,"2,427"
Oct-14,"2,500"
Nov-14,"2,300"
Dec-14,"1,606"
Jan-15,"2,555"
Feb-15,"2,363"
Mar-15,"2,662"
Apr-15,"2,405"
May-15,"2,114"
Jun-15,"2,638"
Jul-15,"2,983"
Aug-15,"2,479"
Sep-15,"2,542"
Oct-15,"2,536"
Nov-15,"2,567"
Dec-15,"1,668"
Jan-16,"2,555"
Feb-16,"2,590"
Mar-16,"2,752"
Apr-16,"2,764"
May-16,"2,421"
Jun-16,"2,968"
Jul-16,"2,627"
Aug-16,"2,805"
Sep-16,"2,745"
Oct-16,"2,665"
Nov-16,"3,019"
Dec-16,"2,217"
Jan-17,"3,525"
Feb-17,"3,052"
Mar-17,"3,582"
Apr-17,"2,830"
May-17,"3,071"
Jun-17,"3,039"
Jul-17,"3,479"
Aug-17,"3,652"
Sep-17,"3,322"
Oct-17,"3,079"
Nov-17,"3,514"
Dec-17,"2,269"
Jan-18,"3,691"
Feb-18,"3,464"
Mar-18,"3,651"
Apr-18,"3,268"
May-18,"3,425"
Jun-18,"3,813"
Jul-18,"4,207"
Aug-18,"4,082"
Sep-18,"3,537"
Oct-18,"4,076"
Nov-18,"3,950"
Dec-18,"2,979"
Jan-19,"3,932"
Feb-19,"3,981"
Mar-19,"3,739"
Apr-19,"3,428"
May-19,"3,482"
Jun-19,"3,045"
Jul-19,"3,824"
Aug-19,"3,284"
Sep-19,"3,226"
Oct-19,"3,363"
Nov-19,"3,202"
Dec-19,"2,398"
Jan-20,"3,436"
Feb-20,"3,328"
Mar-20,"3,775"
Apr-20,"2,713"
May-20,"2,338"
Jun-20,"2,620"
Jul-20,"3,253"
Aug-20,"2,483"
Sep-20,"3,017"
Oct-20,"3,390"
Nov-20,"3,514"
Dec-20,"2,793"
Jan-21,"3,524"
Feb-21,"4,333"
Mar-21,"5,229"
Apr-21,"4,643"
May-21,"5,913"
Jun-21,"5,483"
Jul-21,"5,029"
Aug-21,"5,198"
Sep-21,"5,330"
Oct-21,"5,777"
Nov-21,"5,990"
Dec-21,"5,186"
Jan-22,"4,917"
Feb-22,"6,169"
Mar-22,"6,065"
Apr-22,"5,699"
May-22,"5,639"
Jun-22,"5,626"
Jul-22,"4,913"
Aug-22,"5,144"
Sep-22,"5,348"
Oct-22,"4,758"
Nov-22,"4,528"
Dec-22,"3,053"
Jan-23,"4,321"
Feb-23,"4,622"
Mar-23,"5,165"
Apr-23,"3,660"
May-23,"3,643"
Jun-23,"3,326"
Jul-23,
